ID;Time[s];JTAG: States
188;0.830612;SHIFT-IR
189;0.831591;SHIFT-IR
190;0.831593;SHIFT-IR
191;0.831595;SHIFT-IR
192;0.831597;SHIFT-IR
193;0.831599;SHIFT-IR
194;0.831601;SHIFT-IR
195;0.831603;SHIFT-IR
196;0.831605;EXIT1-IR
197;0.832595;PAUSE-IR
198;0.833591;EXIT2-IR
199;0.834591;UPDATE-IR
200;0.835626;RUN-TEST/IDLE
201;0.8366;SELECT-DR-SCAN
202;0.836601;SELECT-IR-SCAN
203;0.836603;CAPTURE-IR
204;0.836605;SHIFT-IR
205;0.837592;SHIFT-IR
206;0.837594;SHIFT-IR
207;0.837596;SHIFT-IR
208;0.837597;SHIFT-IR
209;0.837599;SHIFT-IR
210;0.837601;SHIFT-IR
211;0.837603;SHIFT-IR
212;0.837605;EXIT1-IR
213;0.838593;PAUSE-IR
214;0.839593;EXIT2-IR
215;0.840618;UPDATE-IR
216;0.841624;SELECT-DR-SCAN
217;0.842624;CAPTURE-DR
218;0.843671;EXIT1-DR
219;0.844628;UPDATE-DR
220;0.845683;RUN-TEST/IDLE
221;0.847459;SELECT-DR-SCAN
222;0.847461;SELECT-IR-SCAN
223;0.847463;CAPTURE-IR
224;0.847465;SHIFT-IR
225;0.848667;SHIFT-IR
226;0.848669;SHIFT-IR
227;0.848671;SHIFT-IR
228;0.848673;SHIFT-IR
229;0.848675;SHIFT-IR
230;0.848677;SHIFT-IR
231;0.848679;SHIFT-IR
232;0.848681;EXIT1-IR
233;0.84972;UPDATE-IR
234;0.849722;RUN-TEST/IDLE
235;0.850773;SELECT-DR-SCAN
236;0.850775;SELECT-IR-SCAN
237;0.850777;CAPTURE-IR
238;0.850779;SHIFT-IR
239;0.851766;SHIFT-IR
240;0.851768;SHIFT-IR
241;0.85177;SHIFT-IR
242;0.851772;SHIFT-IR
243;0.851774;SHIFT-IR
244;0.851776;SHIFT-IR
245;0.851778;SHIFT-IR
246;0.85178;EXIT1-IR
247;0.852751;UPDATE-IR
248;0.852753;RUN-TEST/IDLE
249;0.853709;SELECT-DR-SCAN
250;0.853711;SELECT-IR-SCAN
251;0.853712;CAPTURE-IR
252;0.853714;SHIFT-IR
253;0.854746;SHIFT-IR
254;0.854748;SHIFT-IR
255;0.85475;SHIFT-IR
256;0.854752;SHIFT-IR
257;0.854754;SHIFT-IR
258;0.854756;SHIFT-IR
259;0.854758;SHIFT-IR
260;0.85476;EXIT1-IR
261;0.855757;UPDATE-IR
262;0.855759;RUN-TEST/IDLE
263;0.856745;SELECT-DR-SCAN
264;0.856747;SELECT-IR-SCAN
265;0.856749;CAPTURE-IR
266;0.856751;SHIFT-IR
267;0.857756;SHIFT-IR
268;0.857758;SHIFT-IR
269;0.85776;SHIFT-IR
270;0.857762;SHIFT-IR
271;0.857764;SHIFT-IR
272;0.857766;SHIFT-IR
273;0.857768;SHIFT-IR
274;0.85777;EXIT1-IR
275;0.859412;PAUSE-IR
276;0.86027;EXIT2-IR
277;0.860272;UPDATE-IR
278;0.860274;SELECT-DR-SCAN
279;0.860276;CAPTURE-DR
280;0.860278;SHIFT-DR
281;0.861364;SHIFT-DR
282;0.861366;SHIFT-DR
283;0.861368;SHIFT-DR
284;0.86137;SHIFT-DR
285;0.861372;SHIFT-DR
286;0.861374;SHIFT-DR
287;0.861375;SHIFT-DR
288;0.861377;SHIFT-DR
289;0.861382;SHIFT-DR
290;0.861384;SHIFT-DR
291;0.861386;SHIFT-DR
292;0.861388;SHIFT-DR
293;0.86139;SHIFT-DR
294;0.861392;SHIFT-DR
295;0.861394;SHIFT-DR
296;0.861396;SHIFT-DR
297;0.8614;SHIFT-DR
298;0.861402;SHIFT-DR
299;0.861404;SHIFT-DR
300;0.861406;SHIFT-DR
301;0.861408;SHIFT-DR
302;0.86141;SHIFT-DR
303;0.861412;SHIFT-DR
304;0.861414;SHIFT-DR
305;0.861418;SHIFT-DR
306;0.86142;SHIFT-DR
307;0.861422;SHIFT-DR
308;0.861424;SHIFT-DR
309;0.861426;SHIFT-DR
310;0.861428;SHIFT-DR
311;0.86143;SHIFT-DR
312;0.861432;SHIFT-DR
313;0.861437;SHIFT-DR
314;0.861439;SHIFT-DR
315;0.86144;SHIFT-DR
316;0.861442;SHIFT-DR
317;0.861444;SHIFT-DR
318;0.861446;SHIFT-DR
319;0.861448;SHIFT-DR
320;0.86145;SHIFT-DR
321;0.861455;SHIFT-DR
322;0.861457;SHIFT-DR
323;0.861459;SHIFT-DR
324;0.861461;SHIFT-DR
325;0.861463;SHIFT-DR
326;0.861464;SHIFT-DR
327;0.861466;SHIFT-DR
328;0.861468;SHIFT-DR
329;0.861473;SHIFT-DR
330;0.861475;SHIFT-DR
331;0.861477;SHIFT-DR
332;0.861479;SHIFT-DR
333;0.861481;SHIFT-DR
334;0.861483;SHIFT-DR
335;0.861485;SHIFT-DR
336;0.861487;SHIFT-DR
337;0.861491;SHIFT-DR
338;0.861493;SHIFT-DR
339;0.861495;SHIFT-DR
340;0.861497;SHIFT-DR
341;0.861499;SHIFT-DR
342;0.861501;SHIFT-DR
343;0.861503;SHIFT-DR
344;0.861505;SHIFT-DR
345;0.861509;SHIFT-DR
346;0.861511;SHIFT-DR
347;0.861513;SHIFT-DR
348;0.861515;SHIFT-DR
349;0.861517;SHIFT-DR
350;0.861519;SHIFT-DR
351;0.861521;SHIFT-DR
352;0.861523;SHIFT-DR
353;0.861528;SHIFT-DR
354;0.861529;SHIFT-DR
355;0.861531;SHIFT-DR
356;0.861533;SHIFT-DR
357;0.861535;SHIFT-DR
358;0.861537;SHIFT-DR
359;0.861539;SHIFT-DR
360;0.861541;SHIFT-DR
361;0.861546;SHIFT-DR
362;0.861548;SHIFT-DR
363;0.86155;SHIFT-DR
364;0.861552;SHIFT-DR
365;0.861553;SHIFT-DR
366;0.861555;SHIFT-DR
367;0.861557;SHIFT-DR
368;0.861559;SHIFT-DR
369;0.861564;SHIFT-DR
370;0.861566;SHIFT-DR
371;0.861568;SHIFT-DR
372;0.86157;SHIFT-DR
373;0.861572;SHIFT-DR
374;0.861574;SHIFT-DR
375;0.861576;SHIFT-DR
376;0.861577;SHIFT-DR
377;0.861582;SHIFT-DR
378;0.861584;SHIFT-DR
379;0.861586;SHIFT-DR
380;0.861588;SHIFT-DR
381;0.86159;SHIFT-DR
382;0.861592;SHIFT-DR
383;0.861594;SHIFT-DR
384;0.861596;SHIFT-DR
385;0.8616;SHIFT-DR
386;0.861602;SHIFT-DR
387;0.861604;SHIFT-DR
388;0.861606;SHIFT-DR
389;0.861608;SHIFT-DR
390;0.86161;SHIFT-DR
391;0.861612;SHIFT-DR
392;0.861614;SHIFT-DR
393;0.861619;SHIFT-DR
394;0.86162;SHIFT-DR
395;0.861622;SHIFT-DR
396;0.861624;SHIFT-DR
397;0.861626;SHIFT-DR
398;0.861628;SHIFT-DR
399;0.86163;SHIFT-DR
400;0.861632;SHIFT-DR
401;0.861637;SHIFT-DR
402;0.861639;SHIFT-DR
403;0.861641;SHIFT-DR
404;0.861642;SHIFT-DR
405;0.861644;SHIFT-DR
406;0.861646;SHIFT-DR
407;0.861648;SHIFT-DR
408;0.86165;SHIFT-DR
409;0.861655;SHIFT-DR
410;0.861657;SHIFT-DR
411;0.861659;SHIFT-DR
412;0.861661;SHIFT-DR
413;0.861663;SHIFT-DR
414;0.861665;SHIFT-DR
415;0.861667;SHIFT-DR
416;0.861668;SHIFT-DR
417;0.861673;SHIFT-DR
418;0.861675;SHIFT-DR
419;0.861677;SHIFT-DR
420;0.861679;SHIFT-DR
421;0.861681;SHIFT-DR
422;0.861683;SHIFT-DR
423;0.861685;SHIFT-DR
424;0.861687;SHIFT-DR
425;0.861691;SHIFT-DR
426;0.861693;SHIFT-DR
427;0.861695;SHIFT-DR
428;0.861697;SHIFT-DR
429;0.861699;SHIFT-DR
430;0.861701;SHIFT-DR
431;0.861703;SHIFT-DR
432;0.861705;SHIFT-DR
433;0.861709;SHIFT-DR
434;0.861711;SHIFT-DR
435;0.861713;SHIFT-DR
436;0.861715;SHIFT-DR
437;0.861717;SHIFT-DR
438;0.861719;SHIFT-DR
439;0.861721;SHIFT-DR
440;0.861723;SHIFT-DR
441;0.861728;SHIFT-DR
442;0.86173;SHIFT-DR
443;0.861731;SHIFT-DR
444;0.861733;SHIFT-DR
445;0.861735;SHIFT-DR
446;0.861737;SHIFT-DR
447;0.861739;SHIFT-DR
448;0.861741;SHIFT-DR
449;0.861746;SHIFT-DR
450;0.861748;SHIFT-DR
451;0.86175;SHIFT-DR
452;0.861752;SHIFT-DR
453;0.861754;SHIFT-DR
454;0.861756;SHIFT-DR
455;0.861757;SHIFT-DR
456;0.861759;SHIFT-DR
457;0.861764;SHIFT-DR
458;0.861766;SHIFT-DR
459;0.861768;SHIFT-DR
460;0.86177;SHIFT-DR
461;0.861772;SHIFT-DR
462;0.861774;SHIFT-DR
463;0.861776;SHIFT-DR
464;0.861778;SHIFT-DR
465;0.861782;SHIFT-DR
466;0.861784;SHIFT-DR
467;0.861786;SHIFT-DR
468;0.861788;SHIFT-DR
469;0.86179;SHIFT-DR
470;0.861792;SHIFT-DR
471;0.861794;SHIFT-DR
472;0.861796;SHIFT-DR
473;0.8618;SHIFT-DR
474;0.861802;SHIFT-DR
475;0.861804;SHIFT-DR
476;0.861806;SHIFT-DR
477;0.861808;SHIFT-DR
478;0.86181;SHIFT-DR
479;0.861812;SHIFT-DR
480;0.861814;SHIFT-DR
481;0.861819;SHIFT-DR
482;0.861821;SHIFT-DR
483;0.861822;SHIFT-DR
484;0.861824;SHIFT-DR
485;0.861826;SHIFT-DR
486;0.861828;SHIFT-DR
487;0.86183;SHIFT-DR
488;0.861832;SHIFT-DR
489;0.861837;SHIFT-DR
490;0.861839;SHIFT-DR
491;0.861841;SHIFT-DR
492;0.861843;SHIFT-DR
493;0.861845;SHIFT-DR
494;0.861846;SHIFT-DR
495;0.861848;SHIFT-DR
496;0.86185;SHIFT-DR
497;0.861855;SHIFT-DR
498;0.861857;SHIFT-DR
499;0.861859;SHIFT-DR
500;0.861861;SHIFT-DR
501;0.861863;SHIFT-DR
502;0.861865;SHIFT-DR
503;0.861867;SHIFT-DR
504;0.861869;SHIFT-DR
505;0.861873;SHIFT-DR
506;0.861875;SHIFT-DR
507;0.861877;SHIFT-DR
508;0.861879;SHIFT-DR
509;0.861881;SHIFT-DR
510;0.861883;SHIFT-DR
511;0.861885;SHIFT-DR
512;0.861887;SHIFT-DR
513;0.861891;SHIFT-DR
514;0.861893;SHIFT-DR
515;0.861895;SHIFT-DR
516;0.861897;SHIFT-DR
517;0.861899;SHIFT-DR
518;0.861901;SHIFT-DR
519;0.861903;SHIFT-DR
520;0.861905;SHIFT-DR
521;0.86191;SHIFT-DR
522;0.861911;SHIFT-DR
523;0.861913;SHIFT-DR
524;0.861915;SHIFT-DR
525;0.861917;SHIFT-DR
526;0.861919;SHIFT-DR
527;0.861921;SHIFT-DR
528;0.861923;SHIFT-DR
529;0.861928;SHIFT-DR
530;0.86193;SHIFT-DR
531;0.861932;SHIFT-DR
532;0.861934;SHIFT-DR
533;0.861935;SHIFT-DR
534;0.861937;SHIFT-DR
535;0.861939;SHIFT-DR
536;0.861941;SHIFT-DR
537;0.862432;SHIFT-DR
538;0.862434;SHIFT-DR
539;0.862436;SHIFT-DR
540;0.862438;SHIFT-DR
541;0.86244;SHIFT-DR
542;0.862442;SHIFT-DR
543;0.862444;SHIFT-DR
544;0.862446;SHIFT-DR
545;0.862451;SHIFT-DR
546;0.862453;SHIFT-DR
547;0.862455;SHIFT-DR
548;0.862456;SHIFT-DR
549;0.862458;SHIFT-DR
550;0.86246;SHIFT-DR
551;0.862462;SHIFT-DR
552;0.862464;SHIFT-DR
553;0.862469;SHIFT-DR
554;0.862471;SHIFT-DR
555;0.862473;SHIFT-DR
556;0.862475;SHIFT-DR
557;0.862477;SHIFT-DR
558;0.862479;SHIFT-DR
559;0.86248;SHIFT-DR
560;0.862482;SHIFT-DR
561;0.862487;SHIFT-DR
562;0.862489;SHIFT-DR
563;0.862491;SHIFT-DR
564;0.862493;SHIFT-DR
565;0.862495;SHIFT-DR
566;0.862497;SHIFT-DR
567;0.862499;SHIFT-DR
568;0.862501;SHIFT-DR
569;0.862505;SHIFT-DR
570;0.862507;SHIFT-DR
571;0.862509;SHIFT-DR
572;0.862511;SHIFT-DR
573;0.862513;SHIFT-DR
574;0.862515;SHIFT-DR
575;0.862517;SHIFT-DR
576;0.862519;SHIFT-DR
577;0.862523;SHIFT-DR
578;0.862525;SHIFT-DR
579;0.862527;SHIFT-DR
580;0.862529;SHIFT-DR
581;0.862531;SHIFT-DR
582;0.862533;SHIFT-DR
583;0.862535;SHIFT-DR
584;0.862537;SHIFT-DR
585;0.862542;SHIFT-DR
586;0.862544;SHIFT-DR
587;0.862545;SHIFT-DR
588;0.862547;SHIFT-DR
589;0.862549;SHIFT-DR
590;0.862551;SHIFT-DR
591;0.862553;SHIFT-DR
592;0.862555;SHIFT-DR
593;0.86256;SHIFT-DR
594;0.862562;SHIFT-DR
595;0.862564;SHIFT-DR
596;0.862566;SHIFT-DR
597;0.862568;SHIFT-DR
598;0.862569;SHIFT-DR
599;0.862571;SHIFT-DR
600;0.862573;SHIFT-DR
601;0.862578;SHIFT-DR
602;0.86258;SHIFT-DR
603;0.862582;SHIFT-DR
604;0.862584;SHIFT-DR
605;0.862586;SHIFT-DR
606;0.862588;SHIFT-DR
607;0.86259;SHIFT-DR
608;0.862592;SHIFT-DR
609;0.862596;SHIFT-DR
610;0.862598;SHIFT-DR
611;0.8626;SHIFT-DR
612;0.862602;SHIFT-DR
613;0.862604;SHIFT-DR
614;0.862606;SHIFT-DR
615;0.862608;SHIFT-DR
616;0.86261;SHIFT-DR
617;0.862614;SHIFT-DR
618;0.862616;SHIFT-DR
619;0.862618;SHIFT-DR
620;0.86262;SHIFT-DR
621;0.862622;SHIFT-DR
622;0.862624;SHIFT-DR
623;0.862626;SHIFT-DR
